system,family,storage,write_path,update_strategy,offline_consolidation,forgetting,provenance,readable_by_human,source,evidence_strength
Generative Agents,reflection,memory stream + embeddings,append observation,none (append-only),"reflection when sum(importance) > 150, ~2-3x/day",recency exponential decay in retrieval score,importance score only,no,arXiv 2304.03442,peer-reviewed (UIST 2023)
MemGPT / Letta,os-metaphor,core + archival + recall tiers + git-backed MemFS,agent-invoked memory tools,agent edits core memory blocks,"yes - dreaming subagents on step-count or compaction-event",paging out of core memory,memory block ownership + git history,yes (MemFS),docs.letta.com,vendor docs
Sleep-time compute,precompute,derived context,offline pass over raw context,rewrite derived context,"yes - that IS the method",n/a,n/a,no,arXiv 2504.13171,peer-reviewed-ish preprint + code
Mem0 (Apr 2026),extract-retrieve,vector + entity links,single-pass ADD-only LLM extraction,none - accumulate; nothing overwritten,no,none stated,no,no,github.com/mem0ai/mem0,vendor self-report
Zep / Graphiti,temporal-kg,bi-temporal knowledge graph,episode ingestion then fact extraction,invalidate edge with validity window; never delete,incremental not batch,invalidation not deletion,"yes - episodes retained as ground truth",no,github.com/getzep/graphiti,vendor docs
A-MEM,zettelkasten,vector notes + links,note construction w/ tags+keywords,memory evolution rewrites neighbour metadata,on insert not scheduled,none stated,no,partially,arXiv 2502.12110,preprint
HippoRAG 2,neuro-inspired retrieval,open KG + passage index,offline indexing,continual insertion,offline indexing pass,none,no,no,github.com/OSU-NLP-Group/HippoRAG,peer-reviewed
MemOS,os-metaphor,MemCube (plaintext/KV/parametric),scheduled MemScheduler,versioned lifecycle,yes - MemLifecycle,lifecycle state transitions,"yes - MemGovernance",no,github.com/MemTensor/MemOS,preprint + best HaluMem scores
OpenClaw Dreaming,dream-cycle,plain markdown files,daily notes appended,deep phase add/merge/supersede,"yes - nightly light->REM->deep sweep","implicit via non-promotion + 0.25 max loss cap","yes - untrusted/system excluded pre-consolidation",yes,openclaw/openclaw docs/concepts/dreaming.md,shipping product docs
openclaw-memory-dreaming,dream-cycle,markdown + json sidecar,daily notes,integrate/prune/supersede,"yes - nightly 5-step at 3am","explicit decay tiers: crystallised/hot/warm/cold/archived",timestamped supersession chains,yes,github.com/ptburkis/openclaw-memory-dreaming,community project
Auto-Dreamer,learned consolidator,typed memory bank,fast per-session writer,region rewriting - replacement set supersedes region,yes - cadence k sessions (8 ALFWorld / 10 ScienceWorld),implicit via omission from replacement set,"yes - provenance-linked source trajectories",no,arXiv 2605.20616,"preprint, read: controlled ablation present; only ScienceWorld gain outside bootstrap CI"
Anthropic context engineering,context-eng,files + subagent summaries,structured note-taking,rewrite notes,compaction at window limit,tool-result clearing,no,yes,anthropic.com engineering blog,vendor guidance
Anthropic Managed Agents Dreams,dream-cycle,memory store (10k memory cap),agent file writes or memories API,"copy-on-write - dream emits a NEW store; input never modified",yes - on-demand async job over 1 store + 1-100 sessions,omission from output store; human discards or adopts,"yes - immutable memory versions, session-attributed, 30d retention, redact endpoint",yes,platform.claude.com/docs/en/managed-agents/dreams,shipping product docs (research preview)
Claude Code Auto memory,context-eng,markdown MEMORY.md index + topic files,online typed notes (user/feedback/project/reference),agent edits files in session,no - online only; harness forces compaction at 200 lines / 25KB,merge-or-drop prompted by harness at the cap,modified timestamp in frontmatter,yes,docs.claude.com/en/docs/claude-code/memory,shipping product docs
ChatGPT Dreaming V3,dream-cycle,opaque,continuous background synthesis,not documented,yes - continuous background process,not documented,not documented,"partially - memory summary page",openai.com/index/chatgpt-memory-dreaming,vendor announcement; eval is unreleased chart images
